barcode,location,author,title,publisher_code,status
32185,EEE,P C SEN,MODERN POWER ELECTRONICS,SCHANDANDCO,Available
32186,EEE,P C SEN,MODERN POWER ELECTRONICS,SCHANDANDCO,Available
32187,EEE,P C SEN,MODERN POWER ELECTRONICS,SCHANDANDCO,Available
32188,EEE,P C SEN,MODERN POWER ELECTRONICS,SCHANDANDCO,Available
32189,EEE,P C SEN,MODERN POWER ELECTRONICS,SCHANDANDCO,Available
32190,EEE,P C SEN,MODERN POWER ELECTRONICS,SCHANDANDCO,Not for loan
32191,EEE,ROBERT W ERICKSON,FUNDAMENTALS OF POWER ELECTRONICS,SPRINGER,Not for loan
32192,EEE,VEDAM SUBRAHMANIYAN,Electric Devices,TATAMCGRAW-HILLPUBLISHIGNGCOMPANYLIMITED,Not for loan
32193,EEE,SUBRAHMANYAM V,Electric Drives,TATAMCGRAW-HILL,Available
32194,EEE,VEDAM SUBRAHMANIYAN,Electric Drives,TATAMCGRAW-HILLPUBLISHINGCO;LTD,Available
